,Age,Diet,Died
1127,0-34,Low,False
1128,0-34,Low,False
1129,0-34,Low,False
1130,0-34,Low,False
1131,0-34,Low,False
1132,0-34,Low,False
1133,0-34,Low,False
1134,0-34,Low,False
1135,0-34,Low,False
1136,0-34,Low,False
1137,0-34,Low,False
1138,0-34,Low,False
1139,0-34,Low,False
1140,0-34,Low,False
1141,0-34,Low,False
1142,0-34,Low,False
1143,0-34,Low,False
1144,0-34,Low,False
1145,0-34,Low,False
1146,0-34,Low,False
1147,0-34,Low,False
1148,0-34,Low,False
1149,0-34,Low,False
1150,0-34,Low,False
1151,0-34,Low,False
1152,0-34,Low,False
1153,0-34,Low,False
1154,0-34,Low,False
1155,0-34,Low,False
1156,0-34,Low,False
1157,0-34,Low,False
1158,0-34,Low,False
1159,0-34,Low,False
1160,0-34,Low,False
1161,0-34,Low,False
1162,0-34,Low,False
1163,0-34,Low,False
1164,0-34,Low,False
1165,0-34,Low,False
1166,0-34,Low,False
1167,0-34,Low,False
1168,0-34,Low,False
1169,0-34,Low,False
1170,0-34,Low,False
1171,0-34,Low,False
1172,0-34,Low,False
1173,0-34,Low,False
1174,0-34,Low,False
1175,0-34,Low,False
1176,0-34,Low,False
1177,0-34,Low,False
1178,0-34,Low,False
1179,0-34,Low,False
1180,0-34,Low,False
1181,0-34,Low,False
1182,0-34,Low,False
1183,0-34,Low,False
1184,0-34,Low,False
1185,0-34,Low,False
1186,0-34,Low,False
1187,0-34,Low,False
1188,0-34,Low,False
1189,0-34,Low,False
1190,0-34,Low,False
1191,0-34,Low,False
1192,0-34,Low,False
1193,0-34,Low,False
1194,0-34,Low,False
1195,0-34,Low,False
1196,0-34,Low,False
1197,0-34,Low,False
1198,0-34,Low,False
1199,0-34,Low,False
1200,0-34,Low,False
1201,0-34,Low,False
1202,0-34,Low,False
1203,0-34,Low,False
1204,0-34,Low,False
1205,0-34,Low,False
1206,0-34,Low,False
1207,0-34,Low,False
1208,0-34,Low,False
1209,0-34,Low,False
1210,0-34,Low,False
1211,0-34,Low,False
1212,0-34,Low,False
1213,0-34,Low,False
1214,0-34,Low,False
1215,0-34,Low,False
1216,0-34,Low,False
1217,0-34,Low,False
1218,0-34,Low,False
1219,0-34,Low,False
1220,0-34,Low,False
1221,0-34,Low,False
1222,0-34,Low,False
1223,0-34,Low,False
1224,0-34,Low,False
1225,0-34,Low,False
1226,0-34,Low,False
1227,0-34,Low,False
1228,0-34,Low,False
1229,0-34,Low,False
1230,0-34,Low,False
1231,0-34,Low,False
1232,0-34,Low,False
1233,0-34,Low,False
1234,0-34,Low,False
1235,0-34,Low,False
1236,0-34,Low,False
1237,0-34,Low,False
1238,0-34,Low,False
1239,0-34,Low,False
1240,0-34,Low,False
1241,0-34,Low,False
1242,0-34,Low,False
1243,0-34,Low,False
1244,0-34,Low,False
1245,0-34,Low,False
